"OPTZ_PLN_ID","WORK_DATE","WORK_CLSF","OPTZ_JIG_CODE","JIG_CODE","PROJ_NO","BLK_NO","WSTG_CODE","WORK_STUS_CODE"
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","J02C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","J02B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251031","N","J09A","J09A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J01D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","A","J08A","J08A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251028","B","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","J10D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251028","B","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","J10C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251028","B","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","J10B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251028","B","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","J10A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02AJ02BJ02CJ02DJ04AJ04BJ01BJ01CJ03B","J03B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251103","N","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","J02D","","","",""
