"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J10A","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G8G9","J01AJ01B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J10B","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J10C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G8G9","J01AJ01D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2576","805","G9G9","J10D","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","J06AJ06BJ06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","805","R1G9","J11BJ11C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","132","G9G9","J08AJ08B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","132","G9G9","J08AJ08D","1"
